date,total_cases,new_cases,new_deaths,new_cases_per_million,new_deaths_per_million,positive_rate,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,new_cases_percentage,new_deaths_percentage,anticorps,port_du_masque,centre_de_test_covid,symptomes_covid
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,-1002.2,-7.29,-7.29,-15.542791,0.0,0.0,31,0,0,1
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,-1659.4,-6.01,-4.74,-25.735092,0.0,0.0,33,0,0,1
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,-2565.6,-6.24,-6.71,-39.78905,0.0,0.0,33,1,0,0
2020-01-26,3.0,3.0,0.0,0.046,0.0,0.0,-3599.6,-6.61,-7.74,-55.82502,0.00012411860277206487,0.0,33,1,1,0
2020-02-02,24.0,3.0,0.0,0.046,0.0,0.0,-4424.0,-6.52,-6.17,-68.61037,0.00012411860277206487,0.0,34,1,0,1
2020-02-09,48.0,6.0,0.0,0.093,0.0,0.0,-5500.8,-6.76,-7.99,-85.310104,0.00024823720554412973,0.0,33,0,0,0
2020-02-16,84.0,0.0,0.0,0.0,0.0,0.0,-6558.0,-6.93,-7.94,-101.70587,0.0,0.0,32,1,0,1
2020-02-23,88.0,4.0,0.0,0.062,0.0,0.0,-7910.2,-7.34,-10.25,-122.676704,0.00016549147036275317,0.0,33,1,0,4
2020-03-01,112.0,0.0,0.0,0.0,0.0,0.0,-9084.601,-7.51,-8.89,-140.89009,0.0,0.0,36,1,1,8
2020-03-08,112.0,0.0,0.0,0.0,0.0,0.0,-9863.4,-7.36,-6.03,-152.96825,0.0,0.0,38,1,1,25
2020-03-15,112.0,0.0,43.0,0.0,0.665,0.0,-9640.4,-6.59,1.81,-149.50981,0.0,0.767583006069261,51,3,1,70
2020-03-22,112.0,0.0,670.0,0.0,10.367,0.0,-7740.6006,-4.89,15.78,-120.04644,0.0,11.960014280614066,59,2,3,61
2020-03-29,112.0,0.0,1999.0,0.0,30.932,0.0,-3489.2007,-2.05,35.62,-54.11287,0.0,35.683684398429136,80,4,1,35
2020-04-05,112.0,0.0,3276.0,0.0,50.691,0.0,3641.3994,2.0,61.08,56.47327,0.0,58.47911460192788,64,14,2,22
2020-04-12,112.0,0.0,3344.0,0.0,51.743,0.0,9736.6,5.03,53.15,151.00174,0.0,59.692966797572296,55,4,2,17
2020-04-19,112.0,0.0,2730.0,0.0,42.243,0.0,13810.6,6.75,35.98,214.18407,0.0,48.73259550160657,51,5,2,12
2020-04-26,112.0,0.0,2096.0,0.0,32.432,0.0,15420.0,7.14,14.35,239.14372,0.0,37.41520885398072,49,9,2,13
2020-05-03,112.0,0.0,1406.0,0.0,21.756,0.0,15608.8,6.88,1.71,242.07176,0.0,25.098179221706534,56,20,0,12
2020-05-10,112.0,0.0,1056.0,0.0,16.34,0.0,15705.399,6.6,0.88,243.5699,0.0,18.85041056765441,59,33,1,18
2020-05-17,789.0,677.0,810.0,10.476,12.534,0.0,15632.999,6.28,-0.67,242.44707,0.028009431358895977,14.459121742234915,59,12,3,17
2020-05-24,9191.0,4340.0,562.0,67.155,8.696,0.119,15923.799,6.13,2.69,246.95699,0.17955824534358716,10.03213138164941,59,10,2,14
2020-05-31,38667.0,3436.0,471.0,53.167,7.288,0.105,15797.999,5.85,-1.19,245.006,0.14215717304160497,8.407711531595858,47,10,0,16
2020-06-07,62028.0,2745.0,331.0,42.475,5.122,0.103,15688.199,5.59,-1.05,243.30315,0.11356852153643936,5.908604069975009,49,8,1,12
2020-06-14,81125.0,2627.0,258.0,40.649,3.992,0.097,15660.799,5.38,-0.26,242.8782,0.10868652316073815,4.6054980364155655,45,10,2,14
2020-06-21,99154.0,2267.0,159.0,35.078,2.46,0.1,15428.199,5.11,-2.18,239.27089,0.09379229082809036,2.838272045697965,42,8,3,12
2020-06-28,114780.0,2024.0,111.0,31.318,1.718,0.097,15858.799,5.08,4.03,245.94891,0.0837386840035531,1.9814352017136736,39,7,3,14
2020-07-05,129248.0,2324.0,100.0,35.96,1.547,0.08499999999999999,14837.999,4.59,-9.25,230.11766,0.09615054428075959,1.785076758300607,38,14,3,17
2020-07-12,146045.0,2853.0,120.0,44.146,1.857,0.073,14641.199,4.38,-1.87,227.06557,0.1180367912362337,2.1420921099607284,39,54,7,28
2020-07-19,166673.0,3510.0,94.0,54.312,1.455,0.077,14031.399,4.07,-5.68,217.60838,0.14521876524331592,1.6779721528025704,40,68,8,37
2020-07-26,193298.0,5565.0,98.0,86.11,1.516,0.08499999999999999,13842.6,3.89,-1.76,214.68034,0.23024000814218035,1.7493752231345947,37,31,12,42
2020-08-02,234364.0,7676.0,77.0,118.775,1.191,0.097,14257.8,3.9,3.97,221.11955,0.3175781316261233,1.3745091038914672,36,52,8,47
