date,port_du_masque
2020-01-05,0
2020-01-12,0
2020-01-19,1
2020-01-26,1
2020-02-02,1
2020-02-09,0
2020-02-16,1
2020-02-23,1
2020-03-01,1
2020-03-08,1
2020-03-15,3
2020-03-22,2
2020-03-29,4
2020-04-05,14
2020-04-12,4
2020-04-19,5
2020-04-26,9
2020-05-03,20
2020-05-10,33
2020-05-17,12
2020-05-24,10
2020-05-31,10
2020-06-07,8
2020-06-14,10
2020-06-21,8
2020-06-28,7
2020-07-05,14
2020-07-12,54
2020-07-19,68
2020-07-26,31
2020-08-02,52
2020-08-09,69
2020-08-16,72
2020-08-23,85
2020-08-30,86
2020-09-06,47
2020-09-13,35
2020-09-20,24
2020-09-27,19
2020-10-04,15
2020-10-11,22
2020-10-18,27
2020-10-25,30
2020-11-01,26
2020-11-08,14
2020-11-15,10
2020-11-22,8
2020-11-29,7
2020-12-06,6
2020-12-13,8
2020-12-20,7
2020-12-27,6
2021-01-03,6
2021-01-10,6
2021-01-17,7
2021-01-24,6
2021-01-31,8
2021-02-07,7
2021-02-14,10
2021-02-21,12
2021-02-28,12
2021-03-07,8
2021-03-14,7
2021-03-21,8
2021-03-28,8
2021-04-04,6
2021-04-11,5
2021-04-18,6
2021-04-25,5
2021-05-02,7
2021-05-09,6
2021-05-16,12
2021-05-23,7
2021-05-30,15
2021-06-06,15
2021-06-13,100
2021-06-20,11
2021-06-27,10
2021-07-04,7
2021-07-11,10
2021-07-18,25
2021-07-25,22
2021-08-01,13
2021-08-08,15
2021-08-15,9
2021-08-22,9
2021-08-29,14
2021-09-05,11
2021-09-12,11
2021-09-19,14
2021-09-26,16
2021-10-03,17
2021-10-10,14
2021-10-17,8
2021-10-24,6
2021-10-31,13
2021-11-07,9
2021-11-14,8
2021-11-21,13
2021-11-28,9
2021-12-05,7
2021-12-12,4
2021-12-19,4
2021-12-26,24
2022-01-02,16
2022-01-09,11
2022-01-16,10
2022-01-23,6
2022-01-30,13
2022-02-06,9
2022-02-13,15
2022-02-20,15
2022-02-27,53
2022-03-06,32
2022-03-13,31
2022-03-20,7
2022-03-27,5
2022-04-03,4
2022-04-10,4
2022-04-17,4
2022-04-24,4
2022-05-01,4
2022-05-08,11
2022-05-15,19
2022-05-22,4
2022-05-29,3
2022-06-05,3
2022-06-12,3
2022-06-19,3
2022-06-26,5
2022-07-03,6
2022-07-10,4
2022-07-17,2
2022-07-24,3
2022-07-31,6
2022-08-07,2
2022-08-14,2
2022-08-21,2
2022-08-28,2
2022-09-04,2
2022-09-11,2
2022-09-18,2
2022-09-25,1
2022-10-02,2
2022-10-09,1
2022-10-16,1
2022-10-23,1
2022-10-30,1
2022-11-06,1
2022-11-13,1
2022-11-20,1
2022-11-27,2
2022-12-04,2
2022-12-11,1
2022-12-18,1
2022-12-25,1
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,1
2023-02-12,1
2023-02-19,1
2023-02-26,2
2023-03-05,1
2023-03-12,1
2023-03-19,1
2023-03-26,1
2023-04-02,1
2023-04-09,1
2023-04-16,1
2023-04-23,1
2023-04-30,1
2023-05-07,1
2023-05-14,1
2023-05-21,1
2023-05-28,1
2023-06-04,1
2023-06-11,1
2023-06-18,1
2023-06-25,1
2023-07-02,1
2023-07-09,1
2023-07-16,1
2023-07-23,1
2023-07-30,1
2023-08-06,1
2023-08-13,1
2023-08-20,1
2023-08-27,1
2023-09-03,1
2023-09-10,1
2023-09-17,1
