date,symptomes_covid
2020-01-05,1
2020-01-12,1
2020-01-19,0
2020-01-26,0
2020-02-02,1
2020-02-09,0
2020-02-16,1
2020-02-23,4
2020-03-01,8
2020-03-08,25
2020-03-15,70
2020-03-22,61
2020-03-29,35
2020-04-05,22
2020-04-12,17
2020-04-19,12
2020-04-26,13
2020-05-03,12
2020-05-10,18
2020-05-17,17
2020-05-24,14
2020-05-31,16
2020-06-07,12
2020-06-14,14
2020-06-21,12
2020-06-28,14
2020-07-05,17
2020-07-12,28
2020-07-19,37
2020-07-26,42
2020-08-02,47
2020-08-09,40
2020-08-16,44
2020-08-23,50
2020-08-30,43
2020-09-06,75
2020-09-13,70
2020-09-20,51
2020-09-27,41
2020-10-04,45
2020-10-11,56
2020-10-18,65
2020-10-25,67
2020-11-01,59
2020-11-08,40
2020-11-15,25
2020-11-22,19
2020-11-29,17
2020-12-06,18
2020-12-13,28
2020-12-20,34
2020-12-27,28
2021-01-03,31
2021-01-10,28
2021-01-17,30
2021-01-24,33
2021-01-31,30
2021-02-07,27
2021-02-14,27
2021-02-21,26
2021-02-28,25
2021-03-07,23
2021-03-14,31
2021-03-21,36
2021-03-28,40
2021-04-04,31
2021-04-11,26
2021-04-18,22
2021-04-25,20
2021-05-02,17
2021-05-09,15
2021-05-16,16
2021-05-23,13
2021-05-30,11
2021-06-06,11
2021-06-13,8
2021-06-20,9
2021-06-27,10
2021-07-04,16
2021-07-11,21
2021-07-18,29
2021-07-25,27
2021-08-01,23
2021-08-08,22
2021-08-15,22
2021-08-22,18
2021-08-29,14
2021-09-05,14
2021-09-12,12
2021-09-19,11
2021-09-26,10
2021-10-03,8
2021-10-10,8
2021-10-17,9
2021-10-24,9
2021-10-31,10
2021-11-07,11
2021-11-14,17
2021-11-21,25
2021-11-28,34
2021-12-05,38
2021-12-12,39
2021-12-19,61
2021-12-26,100
2022-01-02,95
2022-01-09,69
2022-01-16,65
2022-01-23,56
2022-01-30,44
2022-02-06,27
2022-02-13,20
2022-02-20,15
2022-02-27,15
2022-03-06,17
2022-03-13,22
2022-03-20,31
2022-03-27,31
2022-04-03,32
2022-04-10,28
2022-04-17,19
2022-04-24,14
2022-05-01,13
2022-05-08,10
2022-05-15,8
2022-05-22,8
2022-05-29,8
2022-06-05,11
2022-06-12,14
2022-06-19,23
2022-06-26,43
2022-07-03,45
2022-07-10,36
2022-07-17,26
2022-07-24,20
2022-07-31,15
2022-08-07,12
2022-08-14,10
2022-08-21,9
2022-08-28,7
2022-09-04,6
2022-09-11,11
2022-09-18,15
2022-09-25,15
2022-10-02,18
2022-10-09,20
2022-10-16,19
2022-10-23,15
2022-10-30,12
2022-11-06,9
2022-11-13,12
2022-11-20,12
2022-11-27,19
2022-12-04,23
2022-12-11,24
2022-12-18,25
2022-12-25,17
2023-01-01,10
2023-01-08,5
2023-01-15,5
2023-01-22,5
2023-01-29,4
2023-02-05,4
2023-02-12,5
2023-02-19,4
2023-02-26,4
2023-03-05,5
2023-03-12,5
2023-03-19,5
2023-03-26,7
2023-04-02,5
2023-04-09,7
2023-04-16,6
2023-04-23,6
2023-04-30,6
2023-05-07,5
2023-05-14,4
2023-05-21,4
2023-05-28,5
2023-06-04,4
2023-06-11,3
2023-06-18,2
2023-06-25,3
2023-07-02,2
2023-07-09,3
2023-07-16,2
2023-07-23,3
2023-07-30,3
2023-08-06,28
2023-08-13,14
2023-08-20,12
2023-08-27,14
2023-09-03,15
2023-09-10,16
2023-09-17,21
