Week,France
2020-01-05,31
2020-01-12,33
2020-01-19,33
2020-01-26,33
2020-02-02,34
2020-02-09,33
2020-02-16,32
2020-02-23,33
2020-03-01,36
2020-03-08,38
2020-03-15,51
2020-03-22,59
2020-03-29,80
2020-04-05,64
2020-04-12,55
2020-04-19,51
2020-04-26,49
2020-05-03,56
2020-05-10,59
2020-05-17,59
2020-05-24,59
2020-05-31,47
2020-06-07,49
2020-06-14,45
2020-06-21,42
2020-06-28,39
2020-07-05,38
2020-07-12,39
2020-07-19,40
2020-07-26,37
2020-08-02,36
2020-08-09,32
2020-08-16,35
2020-08-23,37
2020-08-30,40
2020-09-06,37
2020-09-13,40
2020-09-20,39
2020-09-27,46
2020-10-04,43
2020-10-11,41
2020-10-18,44
2020-10-25,45
2020-11-01,42
2020-11-08,47
2020-11-15,47
2020-11-22,44
2020-11-29,41
2020-12-06,45
2020-12-13,50
2020-12-20,40
2020-12-27,38
2021-01-03,51
2021-01-10,52
2021-01-17,51
2021-01-24,59
2021-01-31,56
2021-02-07,49
2021-02-14,48
2021-02-21,80
2021-02-28,56
2021-03-07,56
2021-03-14,62
2021-03-21,67
2021-03-28,67
2021-04-04,61
2021-04-11,65
2021-04-18,62
2021-04-25,68
2021-05-02,66
2021-05-09,63
2021-05-16,71
2021-05-23,61
2021-05-30,64
2021-06-06,56
2021-06-13,53
2021-06-20,47
2021-06-27,47
2021-07-04,54
2021-07-11,100
2021-07-18,88
2021-07-25,87
2021-08-01,75
2021-08-08,78
2021-08-15,60
2021-08-22,67
2021-08-29,62
2021-09-05,54
2021-09-12,58
2021-09-19,55
2021-09-26,48
2021-10-03,48
2021-10-10,54
2021-10-17,47
2021-10-24,50
2021-10-31,44
2021-11-07,61
2021-11-14,61
2021-11-21,68
2021-11-28,63
2021-12-05,68
2021-12-12,66
2021-12-19,72
2021-12-26,72
2022-01-02,96
2022-01-09,85
2022-01-16,76
2022-01-23,72
2022-01-30,67
2022-02-06,57
2022-02-13,44
2022-02-20,47
2022-02-27,43
2022-03-06,46
2022-03-13,49
2022-03-20,50
2022-03-27,48
2022-04-03,48
2022-04-10,42
2022-04-17,37
2022-04-24,43
2022-05-01,44
2022-05-08,47
2022-05-15,43
2022-05-22,35
2022-05-29,36
2022-06-05,35
2022-06-12,35
2022-06-19,35
2022-06-26,38
2022-07-03,36
2022-07-10,27
2022-07-17,32
2022-07-24,29
2022-07-31,26
2022-08-07,25
2022-08-14,20
2022-08-21,30
2022-08-28,28
2022-09-04,32
2022-09-11,32
2022-09-18,36
2022-09-25,36
2022-10-02,34
2022-10-09,36
2022-10-16,37
2022-10-23,36
2022-10-30,29
2022-11-06,31
2022-11-13,34
2022-11-20,37
2022-11-27,36
2022-12-04,38
2022-12-11,35
2022-12-18,31
2022-12-25,29
2023-01-01,36
2023-01-08,38
2023-01-15,38
2023-01-22,39
2023-01-29,42
2023-02-05,36
2023-02-12,35
2023-02-19,36
2023-02-26,42
2023-03-05,36
2023-03-12,42
2023-03-19,38
2023-03-26,41
2023-04-02,35
2023-04-09,33
2023-04-16,35
2023-04-23,37
2023-04-30,38
2023-05-07,40
2023-05-14,39
2023-05-21,41
2023-05-28,35
2023-06-04,35
2023-06-11,35
2023-06-18,35
2023-06-25,31
2023-07-02,30
2023-07-09,26
2023-07-16,27
2023-07-23,29
2023-07-30,22
2023-08-06,27
2023-08-13,22
2023-08-20,25
2023-08-27,29
2023-09-03,31
2023-09-10,34
2023-09-17,34
