date,covid-19_unscaled,covid-19_monthly,isPartial,scale,covid-19
2020-01-01,0,,,,
2020-01-02,0,,,,
2020-01-03,0,,,,
2020-01-04,0,,,,
2020-01-05,0,0.0,False,0.0,0.0
2020-01-06,0,0.0,,0.0,0.0
2020-01-07,0,0.0,,0.0,0.0
2020-01-08,51,0.0,,0.0,0.0
2020-01-09,0,0.0,,0.0,0.0
2020-01-10,0,0.0,,0.0,0.0
2020-01-11,0,0.0,,0.0,0.0
2020-01-12,0,0.0,False,0.0,0.0
2020-01-13,0,0.0,,0.0,0.0
2020-01-14,0,0.0,,0.0,0.0
2020-01-15,0,0.0,,0.0,0.0
2020-01-16,41,0.0,,0.0,0.0
2020-01-17,0,0.0,,0.0,0.0
2020-01-18,0,0.0,,0.0,0.0
2020-01-19,46,0.0,False,0.0,0.0
2020-01-20,0,0.0,,0.0,0.0
2020-01-21,0,0.0,,0.0,0.0
2020-01-22,0,0.0,,0.0,0.0
2020-01-23,0,0.0,,0.0,0.0
2020-01-24,0,0.0,,0.0,0.0
2020-01-25,0,0.0,,0.0,0.0
2020-01-26,0,0.0,False,0.0,0.0
2020-01-27,0,0.0,,0.0,0.0
2020-01-28,0,0.0,,0.0,0.0
2020-01-29,0,0.0,,0.0,0.0
2020-01-30,100,0.0,,0.0,0.0
2020-01-31,0,0.0,,0.0,0.0
2020-02-01,0,0.0,,0.0,0.0
2020-02-02,0,0.0,False,0.0,0.0
2020-02-03,0,0.0,,0.0,0.0
2020-02-04,0,0.0,,0.0,0.0
2020-02-05,0,0.0,,0.0,0.0
2020-02-06,0,0.0,,0.0,0.0
2020-02-07,0,0.0,,0.0,0.0
2020-02-08,0,0.0,,0.0,0.0
2020-02-09,3,1.0,False,0.01,0.03
2020-02-10,0,1.0,,0.01,0.0
2020-02-11,8,1.0,,0.01,0.08
2020-02-12,15,1.0,,0.01,0.15
2020-02-13,19,1.0,,0.01,0.19
2020-02-14,13,1.0,,0.01,0.13
2020-02-15,11,1.0,,0.01,0.11
2020-02-16,11,1.0,False,0.01,0.11
2020-02-17,12,1.0,,0.01,0.12
2020-02-18,8,1.0,,0.01,0.08
2020-02-19,22,1.0,,0.01,0.22
2020-02-20,17,1.0,,0.01,0.17
2020-02-21,18,1.0,,0.01,0.18
2020-02-22,20,1.0,,0.01,0.2
