date,covid_unscaled,covid_monthly,isPartial,scale,covid
2020-01-01,100,,,,
2020-01-02,0,,,,
2020-01-03,0,,,,
2020-01-04,0,,,,
2020-01-05,0,0.0,False,0.0,0.0
2020-01-06,0,0.0,,0.0,0.0
2020-01-07,0,0.0,,0.0,0.0
2020-01-08,0,0.0,,0.0,0.0
2020-01-09,0,0.0,,0.0,0.0
2020-01-10,0,0.0,,0.0,0.0
2020-01-11,0,0.0,,0.0,0.0
2020-01-12,0,0.0,False,0.0,0.0
2020-01-13,40,0.0,,0.0,0.0
2020-01-14,0,0.0,,0.0,0.0
2020-01-15,67,0.0,,0.0,0.0
2020-01-16,40,0.0,,0.0,0.0
2020-01-17,0,0.0,,0.0,0.0
2020-01-18,0,0.0,,0.0,0.0
2020-01-19,0,0.0,False,0.0,0.0
2020-01-20,0,0.0,,0.0,0.0
2020-01-21,38,0.0,,0.0,0.0
2020-01-22,0,0.0,,0.0,0.0
2020-01-23,0,0.0,,0.0,0.0
2020-01-24,0,0.0,,0.0,0.0
2020-01-25,0,0.0,,0.0,0.0
2020-01-26,0,0.0,False,0.0,0.0
2020-01-27,64,0.0,,0.0,0.0
2020-01-28,0,0.0,,0.0,0.0
2020-01-29,0,0.0,,0.0,0.0
2020-01-30,0,0.0,,0.0,0.0
2020-01-31,0,0.0,,0.0,0.0
2020-02-01,0,0.0,,0.0,0.0
2020-02-02,0,0.0,False,0.0,0.0
2020-02-03,0,0.0,,0.0,0.0
2020-02-04,0,0.0,,0.0,0.0
2020-02-05,0,0.0,,0.0,0.0
2020-02-06,0,0.0,,0.0,0.0
2020-02-07,0,0.0,,0.0,0.0
2020-02-08,0,0.0,,0.0,0.0
2020-02-09,0,0.0,False,0.0,0.0
2020-02-10,0,0.0,,0.0,0.0
2020-02-11,2,0.0,,0.0,0.0
2020-02-12,7,0.0,,0.0,0.0
2020-02-13,11,0.0,,0.0,0.0
2020-02-14,6,0.0,,0.0,0.0
2020-02-15,7,0.0,,0.0,0.0
2020-02-16,9,0.0,False,0.0,0.0
2020-02-17,7,0.0,,0.0,0.0
2020-02-18,5,0.0,,0.0,0.0
2020-02-19,7,0.0,,0.0,0.0
2020-02-20,7,0.0,,0.0,0.0
2020-02-21,7,0.0,,0.0,0.0
2020-02-22,18,0.0,,0.0,0.0
2020-02-23,32,2.0,False,0.02,0.64
2020-02-24,41,2.0,,0.02,0.8200000000000001
2020-02-25,52,2.0,,0.02,1.04
2020-02-26,67,2.0,,0.02,1.34
2020-02-27,68,2.0,,0.02,1.36
2020-02-28,100,2.0,,0.02,2.0
2020-02-29,96,2.0,,0.02,1.92
2020-07-01,54,2.0,,0.02,1.08
2020-07-02,48,2.0,,0.02,0.96
2020-07-03,47,2.0,,0.02,0.9400000000000001
2020-07-04,45,2.0,,0.02,0.9
2020-07-05,49,15.0,False,0.15,7.35
2020-07-06,52,15.0,,0.15,7.8
2020-07-07,59,15.0,,0.15,8.85
2020-07-08,62,15.0,,0.15,9.299999999999999
2020-07-09,65,15.0,,0.15,9.75
2020-07-10,54,15.0,,0.15,8.1
2020-07-11,51,15.0,,0.15,7.6499999999999995
2020-07-12,58,21.0,False,0.21,12.18
2020-07-13,71,21.0,,0.21,14.91
2020-07-14,57,21.0,,0.21,11.969999999999999
2020-07-15,69,21.0,,0.21,14.49
2020-07-16,81,21.0,,0.21,17.009999999999998
2020-07-17,100,21.0,,0.21,21.0
2020-07-18,80,21.0,,0.21,16.8
2020-07-19,68,22.0,False,0.22,14.96
2020-07-20,95,22.0,,0.22,20.9
2020-07-21,78,22.0,,0.22,17.16
2020-07-22,70,22.0,,0.22,15.4
2020-07-23,76,22.0,,0.22,16.72
2020-07-24,88,22.0,,0.22,19.36
2020-07-25,76,22.0,,0.22,16.72
2020-07-26,76,20.0,False,0.2,15.200000000000001
2020-07-27,95,20.0,,0.2,19.0
2020-07-28,80,20.0,,0.2,16.0
2020-07-29,79,20.0,,0.2,15.8
2020-07-30,74,20.0,,0.2,14.8
2020-07-31,69,20.0,,0.2,13.8
2020-08-01,45,20.0,,0.2,9.0
2020-08-02,49,18.0,False,0.18,8.82
2020-08-03,56,18.0,,0.18,10.08
2020-08-04,50,18.0,,0.18,9.0
2020-08-05,49,18.0,,0.18,8.82
2020-08-06,47,18.0,,0.18,8.459999999999999
2020-08-07,50,18.0,,0.18,9.0
2020-08-08,44,18.0,,0.18,7.92
2020-08-09,46,21.0,False,0.21,9.66
2020-08-10,46,21.0,,0.21,9.66
2020-08-11,53,21.0,,0.21,11.129999999999999
2020-08-12,48,21.0,,0.21,10.08
2020-08-13,52,21.0,,0.21,10.92
2020-08-14,63,21.0,,0.21,13.229999999999999
2020-08-15,63,21.0,,0.21,13.229999999999999
2020-08-16,58,25.0,False,0.25,14.5
2020-08-17,66,25.0,,0.25,16.5
2020-08-18,62,25.0,,0.25,15.5
2020-08-19,63,25.0,,0.25,15.75
2020-08-20,68,25.0,,0.25,17.0
2020-08-21,62,25.0,,0.25,15.5
2020-08-22,54,25.0,,0.25,13.5
2020-08-23,51,24.0,False,0.24,12.24
2020-08-24,68,24.0,,0.24,16.32
2020-08-25,66,24.0,,0.24,15.84
2020-08-26,69,24.0,,0.24,16.56
2020-08-27,100,24.0,,0.24,24.0
2020-08-28,77,24.0,,0.24,18.48
2020-08-29,64,24.0,,0.24,15.36
2020-08-30,59,28.0,False,0.28,16.520000000000003
2020-08-31,73,28.0,,0.28,20.44
2020-09-01,55,28.0,,0.28,15.400000000000002
2020-09-02,50,28.0,,0.28,14.000000000000002
2020-09-03,51,28.0,,0.28,14.280000000000001
2020-09-04,59,28.0,,0.28,16.520000000000003
2020-09-05,45,28.0,,0.28,12.600000000000001
2020-09-06,51,35.0,False,0.35,17.849999999999998
2020-09-07,61,35.0,,0.35,21.349999999999998
2020-09-08,66,35.0,,0.35,23.099999999999998
2020-09-09,67,35.0,,0.35,23.45
2020-09-10,76,35.0,,0.35,26.599999999999998
2020-09-11,98,35.0,,0.35,34.3
2020-09-12,56,35.0,,0.35,19.599999999999998
2020-09-13,55,36.0,False,0.36,19.8
2020-09-14,80,36.0,,0.36,28.799999999999997
2020-09-15,65,36.0,,0.36,23.4
2020-09-16,61,36.0,,0.36,21.96
2020-09-17,65,36.0,,0.36,23.4
2020-09-18,61,36.0,,0.36,21.96
2020-09-19,51,36.0,,0.36,18.36
2020-09-20,41,36.0,False,0.36,14.76
2020-09-21,64,36.0,,0.36,23.04
2020-09-22,54,36.0,,0.36,19.439999999999998
2020-09-23,88,36.0,,0.36,31.68
2020-09-24,100,36.0,,0.36,36.0
2020-09-25,70,36.0,,0.36,25.2
2020-09-26,49,36.0,,0.36,17.64
2020-09-27,49,28.0,False,0.28,13.72
2020-09-28,58,28.0,,0.28,16.240000000000002
2020-09-29,52,28.0,,0.28,14.560000000000002
2020-09-30,49,28.0,,0.28,13.72
2020-10-01,19,28.0,,0.28,5.32
2020-10-02,17,28.0,,0.28,4.760000000000001
2020-10-03,13,28.0,,0.28,3.6400000000000006
2020-10-04,19,30.0,False,0.3,5.7
2020-10-05,24,30.0,,0.3,7.199999999999999
2020-10-06,17,30.0,,0.3,5.1
2020-10-07,17,30.0,,0.3,5.1
2020-10-08,24,30.0,,0.3,7.199999999999999
2020-10-09,20,30.0,,0.3,6.0
2020-10-10,18,30.0,,0.3,5.3999999999999995
2020-10-11,17,38.0,False,0.38,6.46
2020-10-12,24,38.0,,0.38,9.120000000000001
2020-10-13,25,38.0,,0.38,9.5
2020-10-14,32,38.0,,0.38,12.16
2020-10-15,29,38.0,,0.38,11.02
2020-10-16,31,38.0,,0.38,11.78
2020-10-17,22,38.0,,0.38,8.36
2020-10-18,24,44.0,False,0.44,10.56
2020-10-19,25,44.0,,0.44,11.0
2020-10-20,25,44.0,,0.44,11.0
2020-10-21,27,44.0,,0.44,11.88
2020-10-22,46,44.0,,0.44,20.24
2020-10-23,39,44.0,,0.44,17.16
2020-10-24,30,44.0,,0.44,13.2
2020-10-25,30,100.0,False,1.0,30.0
2020-10-26,36,100.0,,1.0,36.0
2020-10-27,45,100.0,,1.0,45.0
2020-10-28,54,100.0,,1.0,54.0
2020-10-29,97,100.0,,1.0,97.0
2020-10-30,100,100.0,,1.0,100.0
2020-10-31,67,100.0,,1.0,67.0
2020-11-01,85,79.0,False,0.79,67.15
2020-11-02,100,79.0,,0.79,79.0
2020-11-03,75,79.0,,0.79,59.25
2020-11-04,74,79.0,,0.79,58.46
2020-11-05,75,79.0,,0.79,59.25
2020-11-06,74,79.0,,0.79,58.46
2020-11-07,72,79.0,,0.79,56.88
2020-11-08,64,65.0,False,0.65,41.6
2020-11-09,66,65.0,,0.65,42.9
2020-11-10,67,65.0,,0.65,43.550000000000004
