Week,France
2020-01-05,0
2020-01-12,<1
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,2
2020-03-01,4
2020-03-08,11
2020-03-15,33
2020-03-22,33
2020-03-29,30
2020-04-05,30
2020-04-12,29
2020-04-19,26
2020-04-26,28
2020-05-03,29
2020-05-10,25
2020-05-17,22
2020-05-24,19
2020-05-31,17
2020-06-07,14
2020-06-14,15
2020-06-21,15
2020-06-28,15
2020-07-05,16
2020-07-12,20
2020-07-19,23
2020-07-26,22
2020-08-02,19
2020-08-09,21
2020-08-16,24
2020-08-23,27
2020-08-30,28
2020-09-06,38
2020-09-13,37
2020-09-20,36
2020-09-27,28
2020-10-04,32
2020-10-11,41
2020-10-18,48
2020-10-25,100
2020-11-01,83
2020-11-08,70
2020-11-15,54
2020-11-22,56
2020-11-29,53
2020-12-06,49
2020-12-13,38
2020-12-20,34
2020-12-27,31
2021-01-03,38
2021-01-10,50
2021-01-17,50
2021-01-24,48
2021-01-31,43
2021-02-07,36
2021-02-14,34
2021-02-21,40
2021-02-28,35
2021-03-07,36
2021-03-14,48
2021-03-21,53
2021-03-28,66
2021-04-04,55
2021-04-11,55
2021-04-18,46
2021-04-25,42
2021-05-02,39
2021-05-09,41
2021-05-16,36
2021-05-23,31
2021-05-30,34
2021-06-06,27
2021-06-13,24
2021-06-20,22
2021-06-27,25
2021-07-04,34
2021-07-11,63
2021-07-18,59
2021-07-25,47
2021-08-01,43
2021-08-08,41
2021-08-15,32
2021-08-22,26
2021-08-29,23
2021-09-05,19
2021-09-12,17
2021-09-19,16
2021-09-26,15
2021-10-03,14
2021-10-10,13
2021-10-17,15
2021-10-24,14
2021-10-31,15
2021-11-07,19
2021-11-14,23
2021-11-21,39
2021-11-28,45
2021-12-05,46
2021-12-12,47
2021-12-19,52
2021-12-26,65
2022-01-02,69
2022-01-09,54
2022-01-16,54
2022-01-23,42
2022-01-30,35
2022-02-06,25
2022-02-13,19
2022-02-20,16
2022-02-27,15
2022-03-06,16
2022-03-13,17
2022-03-20,18
2022-03-27,19
2022-04-03,18
2022-04-10,16
2022-04-17,14
2022-04-24,11
2022-05-01,10
2022-05-08,10
2022-05-15,9
2022-05-22,7
2022-05-29,8
2022-06-05,9
2022-06-12,10
2022-06-19,13
2022-06-26,19
2022-07-03,19
2022-07-10,17
2022-07-17,13
2022-07-24,11
2022-07-31,8
2022-08-07,6
2022-08-14,5
2022-08-21,5
2022-08-28,5
2022-09-04,5
2022-09-11,6
2022-09-18,7
2022-09-25,8
2022-10-02,9
2022-10-09,8
2022-10-16,8
2022-10-23,6
2022-10-30,5
2022-11-06,5
2022-11-13,6
2022-11-20,6
2022-11-27,8
2022-12-04,9
2022-12-11,9
2022-12-18,9
2022-12-25,7
2023-01-01,5
2023-01-08,4
2023-01-15,3
2023-01-22,3
2023-01-29,3
2023-02-05,3
2023-02-12,2
2023-02-19,3
2023-02-26,2
2023-03-05,3
2023-03-12,3
2023-03-19,3
2023-03-26,3
2023-04-02,3
2023-04-09,2
2023-04-16,2
2023-04-23,2
2023-04-30,2
2023-05-07,2
2023-05-14,2
2023-05-21,2
2023-05-28,2
2023-06-04,1
2023-06-11,1
2023-06-18,1
2023-06-25,1
2023-07-02,1
2023-07-09,1
2023-07-16,1
2023-07-23,1
2023-07-30,1
2023-08-06,3
2023-08-13,3
2023-08-20,3
2023-08-27,3
2023-09-03,3
2023-09-10,4
2023-09-17,4
